[08:55:38] TONUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:38] FHEUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:38] 4USDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:39] SKYAIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:39] IOUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:39] DASHUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:39] LABUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:40] ZECUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:40] GWEIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:40] STORJUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:42] TONUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:42] FHEUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:42] 4USDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:42] IOUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:43] SKYAIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:43] DASHUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:43] LABUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:44] ZECUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:44] GWEIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:44] STORJUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:45] TONUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:45] FHEUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:46] 4USDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:46] SKYAIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:46] IOUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:47] DASHUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:47] LABUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:47] ZECUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:47] GWEIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:47] STORJUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:49] FHEUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:49] TONUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:50] 4USDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:50] SKYAIUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:50] IOUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:50] DASHUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
[08:55:50] LABUSDT: Missing Prio Data: ['1m', '15m'] Results: [False, False]
